iter	Passed	Remaining
400	27604	41234
401	27674	41167
402	27732	41082
403	27801	41014
404	27865	40938
405	27930	40863
406	27988	40779
407	28061	40716
408	28126	40642
409	28195	40573
410	28265	40507
411	28324	40424
412	28392	40354
413	28465	40291
414	28529	40216
415	28647	40215
416	28752	40198
417	28849	40168
418	28937	40125
419	29010	40061
420	29079	39993
421	29151	39928
422	29229	39871
423	29294	39796
424	29372	39739
425	29439	39667
426	29504	39593
427	29566	39514
428	29624	39430
429	29687	39353
430	29741	39264
431	29801	39182
432	29858	39099
433	29919	39019
434	29974	38932
435	30042	38862
436	30108	38789
437	30166	38706
438	30273	38687
439	30397	38687
440	30470	38623
441	30536	38550
442	30600	38475
443	30666	38402
444	30840	38464
445	30927	38417
446	31007	38360
447	31084	38300
448	31163	38242
449	31240	38182
450	31322	38129
451	31393	38060
452	31457	37985
453	31547	37940
454	31639	37897
455	31719	37841
456	31782	37763
457	31846	37686
458	31910	37611
459	31971	37532
460	32033	37453
461	32105	37387
462	32166	37307
463	32226	37227
464	32285	37145
465	32343	37063
466	32407	36987
467	32472	36912
468	32524	36823
469	32579	36738
470	32649	36670
471	32711	36592
472	32778	36520
473	32832	36434
474	32896	36359
475	32959	36283
476	33019	36204
477	33164	36217
478	33260	36177
479	33326	36103
480	33393	36032
481	33453	35952
482	33519	35879
483	33575	35795
484	33662	35744
485	33806	35754
486	33917	35728
487	33984	35655
488	34044	35576
489	34109	35502
490	34181	35434
491	34262	35377
492	34336	35311
493	34411	35247
494	34480	35176
495	34545	35102
496	34611	35029
497	34684	34963
498	34754	34893
499	34824	34824
500	34932	34793
501	34998	34720
502	35064	34646
503	35125	34567
504	35194	34497
505	35256	34420
506	35323	34347
507	35387	34273
508	35462	34208
509	35551	34157
510	35664	34129
511	35738	34063
512	35812	33997
513	35878	33923
514	35936	33843
515	35993	33761
516	36057	33686
517	36124	33613
518	36185	33535
519	36261	33471
520	36362	33430
521	36493	33417
522	36623	33401
523	36700	33338
524	36769	33267
525	36845	33203
526	36928	33144
527	37041	33113
528	37154	33080
529	37298	33075
530	37413	33044
531	37527	33012
532	37617	32959
533	37678	32880
534	37739	32801
535	37807	32728
536	37879	32659
537	37983	32617
538	38066	32557
539	38163	32509
540	38274	32472
541	38378	32430
542	38473	32380
543	38535	32301
544	38645	32263
545	38833	32289
546	38933	32243
547	39090	32242
548	39226	32224
549	39332	32180
550	39419	32122
551	39500	32058
552	39628	32032
553	39736	31989
554	39816	31924
555	39880	31846
556	39940	31766
557	40006	31689
558	40143	31669
559	40308	31670
560	40424	31633
561	40531	31588
562	40651	31553
563	40760	31510
564	40818	31426
565	40887	31352
566	40958	31278
567	41064	31232
568	41157	31175
569	41252	31120
570	41331	31052
571	41400	30978
572	41513	30935
573	41640	30904
574	41759	30865
575	41885	30832
576	41951	30754
577	42025	30683
578	42091	30605
579	42161	30530
580	42220	30447
581	42291	30374
582	42361	30300
583	42437	30229
584	42519	30163
585	42599	30095
586	42667	30020
587	42731	29941
588	42819	29879
589	42893	29807
590	42957	29728
591	43020	29649
592	43089	29573
593	43145	29490
594	43213	29414
595	43276	29335
596	43335	29253
597	43395	29172
598	43459	29093
599	43523	29015
600	43583	28934
601	43654	28861
602	43708	28776
603	43763	28692
604	43827	28614
605	43889	28535
606	43952	28456
607	44006	28372
608	44059	28287
609	44117	28205
610	44177	28126
611	44238	28046
612	44298	27966
613	44360	27887
614	44416	27805
615	44480	27728
616	44534	27644
617	44594	27564
618	44653	27484
619	44708	27401
620	44769	27322
621	44825	27241
622	44893	27166
623	44948	27084
624	45018	27010
625	45074	26929
626	45139	26853
627	45203	26776
628	45265	26698
629	45321	26617
630	45387	26541
631	45443	26460
632	45507	26384
633	45590	26319
634	45671	26251
635	45753	26185
636	45822	26112
637	45882	26033
638	45933	25950
639	45990	25869
640	46050	25791
641	46119	25717
642	46172	25635
643	46238	25560
644	46299	25482
645	46367	25408
646	46429	25331
647	46482	25249
648	46547	25174
649	46616	25101
650	46675	25022
651	46727	24940
652	46787	24862
653	46857	24790
654	46910	24708
655	46970	24630
656	47037	24556
657	47096	24478
658	47164	24405
659	47239	24335
660	47295	24255
661	47348	24174
662	47402	24094
663	47466	24019
664	47528	23942
665	47585	23864
666	47651	23789
667	47709	23711
668	47768	23634
669	47825	23555
670	47890	23481
671	47959	23408
672	48021	23332
673	48079	23255
674	48140	23178
675	48214	23108
676	48272	23030
677	48326	22951
678	48381	22872
679	48452	22801
680	48509	22723
681	48577	22650
682	48636	22573
683	48708	22502
684	48772	22428
685	48913	22388
686	49011	22329
687	49104	22268
688	49188	22202
689	49251	22127
690	49311	22051
691	49390	21983
692	49458	21909
693	49532	21840
694	49600	21766
695	49665	21692
696	49734	21620
697	49817	21554
698	49882	21480
699	49945	21405
700	50010	21331
701	50075	21257
702	50139	21182
703	50195	21105
704	50255	21029
705	50323	20956
706	50380	20879
707	50443	20804
708	50494	20725
709	50551	20647
710	50615	20573
711	50671	20496
712	50738	20423
713	50806	20351
714	50867	20275
715	50932	20202
716	51023	20139
717	51083	20063
718	51140	19986
719	51202	19912
720	51266	19838
721	51333	19765
722	51392	19689
723	51459	19617
724	51527	19545
725	51613	19479
726	51683	19408
727	51757	19338
728	51835	19269
729	52362	19366
730	52775	19420
731	52876	19359
732	52937	19282
733	53015	19212
734	53081	19138
735	53153	19066
736	53221	18992
737	53299	18922
738	53368	18848
739	53430	18772
740	53505	18701
741	53566	18625
742	53631	18550
743	53694	18475
744	53772	18405
745	53836	18330
746	53901	18255
747	53965	18181
748	54029	18106
749	54090	18030
750	54156	17956
751	54225	17883
752	54285	17806
753	54349	17732
754	54411	17656
755	54466	17579
756	54526	17503
757	54589	17428
758	54652	17353
759	54716	17278
760	54791	17207
761	54858	17134
762	54934	17063
763	55005	16991
764	55071	16917
765	55129	16841
766	55183	16763
767	55249	16689
768	55315	16616
769	55375	16540
770	55433	16464
771	55507	16393
772	55565	16317
773	55624	16241
774	55699	16170
775	55777	16100
776	55857	16031
777	55984	15975
778	56077	15908
779	56143	15835
780	56219	15764
781	56336	15705
782	56427	15638
783	56504	15567
784	56585	15498
785	56661	15426
786	56892	15397
787	57143	15373
788	57279	15318
789	57436	15268
790	57510	15195
791	57577	15121
792	57656	15050
793	57748	14982
794	57822	14910
795	57923	14844
796	57992	14771
797	58061	14697
798	58128	14623
799	58199	14549
800	58265	14475
801	58432	14425
802	58515	14355
803	58609	14287
804	58827	14250
805	58906	14178
806	58970	14103
807	59451	14127
808	59776	14112
809	59881	14046
810	60041	13992
811	60111	13917
812	60174	13840
813	60282	13774
814	60429	13717
815	60549	13653
816	60675	13590
817	60801	13527
818	60931	13465
819	61043	13399
820	61374	13381
821	61578	13334
822	61798	13290
823	62030	13249
824	62276	13210
825	62377	13140
826	62468	13067
827	62576	12998
828	62683	12929
829	62803	12863
830	62906	12793
831	63016	12724
832	63760	12782
833	64131	12764
834	64336	12713
835	64565	12665
836	64814	12622
837	64948	12555
838	65084	12489
839	65173	12413
840	65275	12341
841	65373	12267
842	65495	12197
843	66012	12201
844	66346	12170
845	66861	12171
846	67073	12116
847	67822	12156
848	68856	12246
849	70758	12486
850	73456	12861
851	74107	12873
852	74333	12810
853	74623	12757
854	74720	12671
855	74965	12611
856	75089	12529
857	75213	12447
858	75290	12358
