iter	Logloss
0	0.6531569324
1	0.6221884693
2	0.5980485198
3	0.5798915109
4	0.563957367
5	0.5515698636
6	0.5417525204
7	0.5328198567
8	0.5258697753
9	0.5202937812
10	0.5159236897
11	0.5119031139
12	0.5079329301
13	0.5046148983
14	0.501719315
15	0.4988989837
16	0.496662261
17	0.4946973095
18	0.4929075339
19	0.4909941794
20	0.4894428677
21	0.4877676418
22	0.4863738308
23	0.4850088609
24	0.4839232778
25	0.4826755887
26	0.4815840597
27	0.4803422039
28	0.4795197682
29	0.4786229483
30	0.477549117
31	0.4767603855
32	0.4760189982
33	0.4753460942
34	0.4745669806
35	0.4739057173
36	0.4731677381
37	0.4724743407
38	0.4718292332
39	0.4709939726
40	0.4702439893
41	0.4695224603
42	0.4689126223
43	0.4683965918
44	0.4678295543
45	0.4671300629
46	0.4665597758
47	0.4659337447
48	0.4653281894
49	0.4647809372
50	0.4642756831
51	0.4638359243
52	0.463313657
53	0.4628876002
54	0.46223437
55	0.461756961
56	0.4613864394
57	0.4609618478
58	0.460506238
59	0.460083118
60	0.4597541653
61	0.4593624655
62	0.4589075919
63	0.4584110306
64	0.458010037
65	0.45768245
66	0.4572192792
67	0.4568752969
68	0.4563966374
69	0.4559817353
70	0.4555567736
71	0.4553447712
72	0.4550032343
73	0.4546794335
74	0.4543717282
75	0.4539685321
76	0.4537397117
77	0.4534627336
78	0.453145325
79	0.4528092309
80	0.452522668
81	0.4520775392
82	0.4517252672
83	0.4512869146
84	0.4510016152
85	0.4506844933
86	0.4504373448
87	0.4500675702
88	0.4498040765
89	0.4494833584
90	0.4490983896
91	0.4488401359
92	0.4485856619
93	0.4482193148
94	0.447924014
95	0.4476343092
96	0.4472604647
97	0.4469057961
98	0.4466053423
99	0.4463812054
100	0.4461260639
101	0.4458323096
102	0.4456312068
103	0.4454147022
104	0.4451797023
105	0.4448878259
106	0.4446544138
107	0.4443563538
108	0.4440683707
109	0.4438470798
110	0.443534768
111	0.4432735815
112	0.4430743987
113	0.4429325078
114	0.4427251915
115	0.4424822447
116	0.4422722956
117	0.4419839073
118	0.4417179549
119	0.4414499834
120	0.4411649033
121	0.4409657613
122	0.4407592081
123	0.4404848575
124	0.440184138
125	0.4399451072
126	0.4397077108
127	0.43946727
128	0.4392412521
129	0.4390406899
130	0.4388584731
131	0.4386836985
132	0.438434395
133	0.4381718974
134	0.4379061497
135	0.4377401214
136	0.4375164659
137	0.4372571225
138	0.4369900679
139	0.436672287
140	0.4364432159
141	0.4362403883
142	0.4360190045
143	0.4358126027
144	0.435606203
145	0.4353409627
146	0.4350856807
147	0.4349109969
148	0.4346873596
149	0.4344515074
150	0.4342713205
151	0.4340524594
152	0.4338124929
153	0.4335953949
154	0.4333893772
155	0.4331971597
156	0.4329900105
157	0.4327831062
158	0.4326075617
159	0.4324312873
160	0.4322845252
161	0.4320345504
162	0.431871313
163	0.4316831063
164	0.4314794076
165	0.4313000074
166	0.431168041
167	0.4310104867
168	0.4308591575
169	0.4306472573
170	0.430456891
171	0.4302803739
172	0.4300386327
173	0.4298476602
174	0.4296679355
175	0.4294978914
176	0.4293285991
177	0.4291824984
178	0.4290470051
179	0.4289119775
180	0.4287342307
181	0.4285212249
182	0.4283222805
183	0.4281004821
184	0.4279260487
185	0.4277791757
186	0.4276414328
187	0.4274369339
188	0.4272462576
189	0.4271052587
190	0.4269166629
191	0.4267862897
192	0.4265568682
193	0.4263770126
194	0.42618357
195	0.4260078759
196	0.4258523855
197	0.4256966452
198	0.4255276548
199	0.4253507201
200	0.4252131486
201	0.4251116631
202	0.4249124223
203	0.4247666892
204	0.424589602
205	0.424373572
206	0.4242545863
207	0.4240888789
208	0.4239419369
209	0.4237856649
210	0.4236330284
211	0.4235105186
212	0.4233561925
213	0.423239264
214	0.4231115938
215	0.4229821566
216	0.4228411355
217	0.4226807044
218	0.4225720314
219	0.4224333722
220	0.4222964222
221	0.4221376572
222	0.4220135243
223	0.4218863955
224	0.4217503103
225	0.4216180174
226	0.4214398643
227	0.421328518
228	0.4212366821
229	0.4210868032
230	0.4209240217
231	0.4207983707
232	0.4206848373
233	0.4205803286
234	0.420422208
235	0.4202840379
236	0.420090955
237	0.4199811037
238	0.4198533204
239	0.4197381721
240	0.4196470949
241	0.419540963
242	0.4193897433
243	0.4192678688
244	0.4191466674
245	0.4190318922
246	0.4189240941
247	0.4187689675
248	0.4186434087
249	0.4184832055
250	0.4183211622
251	0.4182032837
252	0.4181121411
253	0.4180135686
254	0.4178641041
255	0.4177540898
256	0.417621319
257	0.4174813782
258	0.4173732131
259	0.4172698185
260	0.4171537727
261	0.4170128464
262	0.4169047782
263	0.4167989738
264	0.4167035658
265	0.4165582038
266	0.4164191088
267	0.416303536
268	0.4161648941
269	0.41604548
270	0.4159175658
271	0.4158081834
272	0.4157194521
273	0.4155992046
274	0.4155066821
275	0.4153602117
276	0.4152598338
277	0.4151532604
278	0.4150476111
279	0.4149441773
280	0.4148473994
281	0.4147525759
282	0.4146594376
283	0.4145391319
284	0.4144357461
285	0.4143320857
286	0.4142282289
287	0.4141173306
288	0.4139742858
289	0.413860826
290	0.4137548564
291	0.413652178
292	0.4135559935
293	0.4134686825
294	0.41334967
295	0.4132338175
296	0.4131395899
297	0.413046193
298	0.4129217995
299	0.4128308491
300	0.4127543306
301	0.4126163783
302	0.4124945258
303	0.412349789
304	0.4122415112
305	0.4121563829
306	0.4120542263
307	0.4119583285
308	0.411888232
309	0.4117923541
310	0.4116863381
311	0.4115976003
312	0.4114951743
313	0.4113925279
314	0.4113056134
315	0.4112014961
316	0.4111307174
317	0.4110439939
318	0.4109357563
319	0.4108249317
320	0.4107327092
321	0.4106092316
322	0.4105120115
323	0.4104256119
324	0.4103561048
325	0.4102647096
326	0.4101556651
327	0.4100242453
328	0.4099196752
329	0.4098354601
330	0.4097421518
331	0.4096584554
332	0.4095656871
333	0.4094948529
334	0.4093968593
335	0.4093069621
336	0.4092284719
337	0.4091292028
338	0.4090482767
339	0.4089460571
340	0.4088615099
341	0.4087589394
342	0.4086694439
343	0.4085646134
344	0.4084767732
345	0.4084014502
346	0.4083278985
347	0.4082182826
348	0.4081201989
349	0.4080239199
350	0.407935323
351	0.4078116615
352	0.4076990582
353	0.4076177313
354	0.4075354393
355	0.4074559298
356	0.4073739438
357	0.407284579
358	0.4072039007
359	0.4071167871
360	0.4070227898
361	0.4069408621
362	0.4068644712
363	0.4067859078
364	0.4066965005
365	0.4066262251
366	0.4065256681
367	0.4064488715
368	0.4063618034
369	0.4062513069
370	0.4061774094
371	0.4061043568
372	0.4060364886
373	0.4059641565
374	0.4058959407
375	0.4058037765
376	0.4057133183
377	0.4056259689
378	0.4055460999
379	0.4054744655
380	0.4053680916
381	0.4052770437
382	0.4051859561
383	0.4050991861
384	0.4050194574
385	0.4049420458
386	0.4048594435
387	0.4047681898
388	0.4046986122
389	0.4046331514
390	0.4045537027
391	0.4044502476
392	0.404363631
393	0.4042860412
394	0.4042016576
395	0.4041262936
396	0.4040609714
397	0.4039962372
398	0.4039272003
399	0.4038635801
400	0.4037854527
401	0.4036939843
402	0.4036278712
403	0.4035512284
404	0.4034819104
405	0.40339115
406	0.4033158622
407	0.4032344464
408	0.4031719025
409	0.4030866716
410	0.4030114546
411	0.4029401085
412	0.4028440594
413	0.4027582978
414	0.4026831324
415	0.4025974233
416	0.4025256342
417	0.4024473988
418	0.4023558624
419	0.4022704293
420	0.402188647
421	0.4020790274
422	0.4019922972
423	0.4019420107
424	0.4018505517
425	0.4017785609
426	0.4016961515
427	0.4016108356
428	0.4015433105
429	0.4014511177
430	0.4013745141
431	0.4013169423
432	0.4012459418
433	0.4011872827
434	0.4011143255
435	0.4010303402
436	0.4009385029
437	0.4008760673
438	0.4008043385
439	0.4007104818
440	0.4006579646
441	0.4005739496
442	0.4004894911
443	0.4004268509
444	0.4003352861
445	0.400262964
446	0.4001814211
447	0.4000992522
448	0.4000160767
449	0.3999453924
450	0.3998631083
451	0.3997941562
452	0.3997274479
453	0.3996674577
454	0.3995804398
455	0.3994979525
456	0.3994376631
457	0.3993734867
458	0.3993100325
459	0.3992527645
460	0.399192986
461	0.3991200081
462	0.3990573438
463	0.3989965614
464	0.3989408542
465	0.3988618622
466	0.3987920579
467	0.3987184378
468	0.3986740641
469	0.3986220158
470	0.3985425128
471	0.3984569392
472	0.3983660398
473	0.3983113255
474	0.3982270595
475	0.3981562436
476	0.3980958401
477	0.3980226471
478	0.3979735545
479	0.3979169692
480	0.3978344412
481	0.3977776721
482	0.3977052625
483	0.3976471654
484	0.397564782
485	0.3974793251
486	0.3974066041
487	0.397343732
488	0.3972784557
489	0.3972086419
490	0.3971365028
491	0.3970592639
492	0.3969875781
493	0.3969158006
494	0.3968475564
495	0.3967867481
496	0.3967255148
497	0.3966393322
498	0.3965650852
499	0.3964822219
500	0.3963952706
501	0.3963291145
